                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90758,                 1.4705,                 6.8967,                 1.0311,                0.32711,                0.49106,                0.21352,                0.16569,                0.32711,                0.49106,                0.21248,                0.16772,                0.77396,                 1.2245,                 11.427,                0.92593,              8.416e-05,              8.416e-05,              8.416e-05
                      2,                 0.7135,                 1.0099,                 2.5905,                0.92279,                0.22619,                0.84549,                 0.3567,                0.30067,                0.22619,                0.84549,                 0.3567,                 0.3027,                0.70446,                 1.0725,                 6.7129,                0.94905,             0.00017186,             0.00017186,             0.00017186
                      3,                0.65371,                0.80063,                 1.9193,                0.90732,                0.42992,                0.75965,                 0.5799,                0.48164,                0.42992,                0.75965,                0.57966,                0.49652,                0.66366,                 1.1705,                 1.7096,                0.94603,             0.00025779,             0.00025779,             0.00025779
                      4,                0.63611,                0.76784,                 1.4885,                0.90271,                0.45158,                0.83697,                0.63448,                0.54178,                0.45158,                0.83697,                0.63356,                0.54491,                0.63302,                 1.2127,                 1.4721,                0.93105,             0.00034195,             0.00034195,             0.00034195
                      5,                0.63905,                0.79599,                 1.3169,                0.90599,                0.50452,                0.80206,                0.62011,                0.51761,                0.50452,                0.80206,                0.62011,                0.53359,                0.68982,                 1.2829,                 1.8621,                0.96989,             0.00042434,             0.00042434,             0.00042434
                      6,                0.64809,                0.77938,                 1.2195,                0.90429,                0.55706,                0.75181,                0.70526,                 0.5917,                0.55706,                0.75181,                0.70526,                0.60596,                 0.6898,                 1.0067,                 1.4277,                0.95373,             0.00049996,             0.00049996,             0.00049996
                      7,                  0.626,                 0.7646,                  1.043,                 0.8974,                0.77095,                0.81793,                0.87511,                0.73722,                0.77095,                0.81793,                0.87511,                0.76653,                0.64659,                  0.717,                0.90802,                0.93192,             0.00049996,             0.00049996,             0.00049996
                      8,                0.63952,                0.75148,                0.88964,                0.90449,                0.69552,                0.80219,                0.86631,                0.70994,                0.69552,                0.80219,                0.86631,                 0.7346,                0.73302,                0.84974,                 1.0992,                0.97908,             0.00049476,             0.00049476,             0.00049476
                      9,                 0.6229,                0.77664,                0.91277,                 0.8906,                0.86216,                0.84246,                0.91054,                  0.755,                0.86216,                0.84246,                0.91054,                 0.7827,                0.70657,                 1.2175,                0.88037,                0.96727,             0.00048955,             0.00048955,             0.00048955
                     10,                 0.6223,                0.76875,                0.84336,                 0.8993,                0.68274,                 0.8698,                0.88489,                0.75613,                0.68274,                 0.8698,                0.88489,                0.76886,                0.65925,                0.81176,                0.96253,                0.94571,             0.00048434,             0.00048434,             0.00048434
                     11,                 0.6244,                0.74479,                0.77351,                0.89793,                0.90952,                0.95403,                0.96238,                0.81357,                0.90952,                0.95403,                0.96238,                0.83453,                0.66449,                0.83788,                0.58655,                0.93804,             0.00047913,             0.00047913,             0.00047913
                     12,                0.61434,                 0.7594,                0.74039,                 0.8936,                0.87255,                0.88923,                0.95176,                0.79787,                0.87255,                0.88923,                0.95176,                0.83232,                0.67962,                   1.24,                0.77834,                0.95443,             0.00047393,             0.00047393,             0.00047393
                     13,                0.60897,                0.74987,                0.69106,                0.89756,                0.90477,                0.93281,                0.96121,                0.81848,                0.90477,                0.93281,                0.96121,                0.82954,                0.63068,                  1.073,                  0.589,                 0.9267,             0.00046872,             0.00046872,             0.00046872
                     14,                0.58361,                 0.7114,                0.63583,                0.88249,                0.88058,                0.93323,                0.96905,                0.82751,                0.88058,                0.93323,                0.96905,                0.84701,                0.63821,                 1.2065,                0.62424,                0.93078,             0.00046351,             0.00046351,             0.00046351
